Machine_ID;Department;Manufacturer;Installation_Year;Target_Runtime_Hours_Day;Machine_Age;Target_Runtime_Hours_year;Total Duration_hours_year;Total Runtime_Hours_year;Efficiency_Score_year
MCH-001;Painting;Fanuc;2021;18;3;4914;992.8666667;5559.133333;113%
MCH-002;Packaging;KUKA;2022;18;2;4986;104;6544;131%
MCH-003;Packaging;ABB;2023;14;1;3780;775.1;5704.9;151%
MCH-004;Packaging;KUKA;2023;16;1;4576;64.75;6799.25;149%
MCH-005;Painting;Siemens;2018;20;6;5980;1696.983333;5479.016667;92%
MCH-006;Packaging;Fanuc;2021;22;3;6006;40.9;6511.1;108%
MCH-007;Assembly;Mitsubishi;2015;22;9;6644;2692.05;4555.95;69%
MCH-008;Painting;KUKA;2023;16;1;4880;992.15;6327.85;130%
MCH-009;Painting;KUKA;2023;16;1;4448;242.6333333;6429.366667;145%
MCH-010;Assembly;Mitsubishi;2018;22;6;6842;1432.683333;6031.316667;88%
MCH-011;Assembly;ABB;2023;14;1;3850;784.55;5815.45;151%
MCH-012;Assembly;Fanuc;2021;20;3;5980;594.3333333;6581.666667;110%
MCH-013;Assembly;ABB;2023;14;1;4004;811.3;6052.7;151%
MCH-014;Assembly;KUKA;2023;16;1;4768;943.45;6208.55;130%
MCH-015;Stamping;Fanuc;2020;18;4;5040;1056.183333;5663.816667;112%
MCH-016;Painting;Siemens;2018;22;6;6248;1257.216667;5558.783333;89%
MCH-017;Packaging;Siemens;2017;20;7;6000;1250.65;5949.35;99%
MCH-018;Packaging;ABB;2023;14;1;4046;832.1666667;6103.833333;151%
MCH-019;Assembly;Fanuc;2021;22;3;6446;423.25;6608.75;103%
MCH-020;Stamping;ABB;2023;14;1;3346;709.4;5026.6;150%
MCH-021;Painting;Schneider;2011;22;13;6930;5916.983333;1643.016667;24%
MCH-022;Painting;Mitsubishi;2018;22;6;5808;1257.883333;5078.116667;87%
MCH-023;Assembly;Fanuc;2021;16;3;4864;1040.1;6255.9;129%
MCH-024;Stamping;ABB;2023;14;1;4004;792.4666667;6071.533333;152%
MCH-025;Packaging;Siemens;2018;20;6;5280;1105.083333;5230.916667;99%
MCH-026;Assembly;Fanuc;2021;20;3;5580;1057.2;5638.8;101%
MCH-027;Assembly;Siemens;2021;20;3;5340;1090.916667;5317.083333;100%
MCH-028;Painting;Siemens;2018;22;6;5852;1139.1;5244.9;90%
MCH-029;Stamping;Schneider;2015;22;9;6270;3996.05;2843.95;45%
MCH-030;Stamping;KUKA;2021;16;3;4224;884.8666667;5451.133333;129%
MCH-031;Stamping;Mitsubishi;2015;18;9;5940;5124.5;2795.5;47%
MCH-032;Assembly;Siemens;2018;20;6;5880;1236.933333;5819.066667;99%
MCH-033;Stamping;Schneider;2014;18;10;5148;4449.8;2414.2;47%
MCH-034;Packaging;ABB;2023;14;1;3990;834.1;6005.9;151%
MCH-035;Stamping;KUKA;2023;16;1;4704;953.6333333;6102.366667;130%
