Machine_ID;Department;Manufacturer;Installation_Year;Target_Runtime_Hours_Day;Machine_Age;Target_Runtime_Hours_year;Total Duration_hours_year;Total Runtime_Hours_year;Efficiency_Score_year
MCH-001;Painting;Mitsubishi;2010;18;14;4914;992.8666667;3921.133333;0.797951431
MCH-002;Packaging;KUKA;2019;18;5;4986;104;4882;0.979141596
MCH-003;Packaging;KUKA;2008;14;16;3780;775.1;3004.9;0.79494709
MCH-004;Packaging;Fanuc;2024;16;0;4576;64.75;4511.25;0.985850087
MCH-005;Painting;Schneider;2009;20;15;5980;1696.983333;4283.016667;0.716223523
MCH-006;Packaging;Mitsubishi;2017;22;7;6006;40.9;5965.1;0.993190143
MCH-007;Assembly;Mitsubishi;2011;22;13;6644;2692.05;3951.95;0.594814871
MCH-008;Painting;KUKA;2018;16;6;4880;992.15;3887.85;0.796690574
MCH-009;Painting;Mitsubishi;2024;16;0;4448;242.6333333;4205.366667;0.945451139
MCH-010;Assembly;KUKA;2009;22;15;6842;1432.683333;5409.316667;0.790604599
MCH-011;Assembly;KUKA;2021;14;3;3850;784.55;3065.45;0.796220779
MCH-012;Assembly;KUKA;2023;20;1;5980;594.3333333;5385.666667;0.900613155
MCH-013;Assembly;Siemens;2022;14;2;4004;811.3;3192.7;0.797377622
MCH-014;Assembly;Mitsubishi;2017;16;7;4768;943.45;3824.55;0.802128775
MCH-015;Stamping;Siemens;2014;18;10;5040;1056.183333;3983.816667;0.790439815
MCH-016;Painting;ABB;2011;22;13;6248;1257.216667;4990.783333;0.798780943
MCH-017;Packaging;Siemens;2017;20;7;6000;1250.65;4749.35;0.791558333
MCH-018;Packaging;Fanuc;2019;14;5;4046;832.1666667;3213.833333;0.794323612
MCH-019;Assembly;Fanuc;2014;22;10;6446;423.25;6022.75;0.934339125
MCH-020;Stamping;Mitsubishi;2014;14;10;3346;709.4;2636.6;0.787985655
MCH-021;Painting;Siemens;2018;22;6;6930;5916.983333;1013.016667;0.146178451
MCH-022;Painting;ABB;2023;22;1;5808;1257.883333;4550.116667;0.783422291
MCH-023;Assembly;ABB;2021;16;3;4864;1040.1;3823.9;0.786163651
MCH-024;Stamping;Siemens;2017;14;7;4004;792.4666667;3211.533333;0.802081252
MCH-025;Packaging;Fanuc;2019;20;5;5280;1105.083333;4174.916667;0.790703914
MCH-026;Assembly;Siemens;2021;20;3;5580;1057.2;4522.8;0.810537634
MCH-027;Assembly;Siemens;2016;20;8;5340;1090.916667;4249.083333;0.795708489
MCH-028;Painting;KUKA;2013;22;11;5852;1139.1;4712.9;0.805348599
MCH-029;Stamping;KUKA;2009;22;15;6270;3996.05;2273.95;0.362671451
MCH-030;Stamping;Fanuc;2019;16;5;4224;884.8666667;3339.133333;0.79051452
MCH-031;Stamping;Schneider;2016;18;8;5940;5124.5;815.5;0.137289562
MCH-032;Assembly;Schneider;2010;20;14;5880;1236.933333;4643.066667;0.789637188
MCH-033;Stamping;Fanuc;2010;18;14;5148;4449.8;698.2;0.135625486
MCH-034;Packaging;Siemens;2013;14;11;3990;834.1;3155.9;0.790952381
MCH-035;Stamping;Schneider;2024;16;0;4704;953.6333333;3750.366667;0.797271825
